compound,target,receptor_record_id,sair_protein_id,target_smiles,compatible_sair_rows,isomeric_match_rows,nonisomeric_match_rows,join_status
"1,8-cineole",TRPA1,protein:CDBP04867,O75762,C[C@@]12CC[C@@H](CC1)C(C)(C)O2,14735,0,0,no_match
absinthin,TRPA1,protein:CDBP04867,O75762,C[C@H]1[C@@H]2CC[C@](C)(O)[C@@H]3[C@H]4[C@H]5C=C(C)[C@@]6([C@H]7OC(=O)[C@@H](C)[C@@H]7CC[C@](C)(O)[C@@H]56)[C@H]4C(=C3[C@H]2OC1=O)C,14735,0,0,no_match
alpha-pinene,TRPA1,protein:CDBP04867,O75762,CC1=CC[C@@H]2C[C@H]1C2(C)C,14735,0,0,no_match
alpha-pinene,TRPA1,protein:CDBP04867,O75762,CC1=CC[C@H]2CC1C2(C)C,14735,0,0,no_match
alpha-thujone,TRPA1,protein:CDBP04867,O75762,CC(C)[C@@]12C[C@@H]1[C@@H](C)C(=O)C2,14735,0,0,no_match
anisaldehyde,TRPA1,protein:CDBP04867,O75762,COc1ccc(C=O)cc1,14735,0,0,no_match
artabsin,TRPA1,protein:CDBP04867,O75762,C[C@H]1[C@@H]2CC[C@](C)(O)C3=CCC(=C3[C@H]2OC1=O)C,14735,0,0,no_match
beta-caryophyllene,TRPA1,protein:CDBP04867,O75762,CC1=CCCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1,14735,0,0,no_match
beta-myrcene,TRPA1,protein:CDBP04867,O75762,CC(C)=CCCC(=C)C=C,14735,0,0,no_match
beta-pinene,TRPA1,protein:CDBP04867,O75762,CC1(C)C2CCC(=C)[C@@H]1C2,14735,0,0,no_match
beta-pinene,TRPA1,protein:CDBP04867,O75762,CC1(C)[C@H]2CCC(=C)[C@@H]1C2,14735,0,0,no_match
beta-thujone,TRPA1,protein:CDBP04867,O75762,CC(C)[C@]12C[C@H]1[C@@H](C)C(=O)C2,14735,0,0,no_match
camphor,TRPA1,protein:CDBP04867,O75762,CC1(C)[C@H]2CCC1(C)C(=O)C2,14735,0,0,no_match
camphor,TRPA1,protein:CDBP04867,O75762,CC1(C)[C@H]2CC[C@]1(C)C(=O)C2,14735,0,0,no_match
chamazulene,TRPA1,protein:CDBP04867,O75762,CCc1ccc(C)c2ccc(C)c2c1,14735,0,0,no_match
cis-anethole,TRPA1,protein:CDBP04867,O75762,COc1ccc(\C=C/C)cc1,14735,0,0,no_match
citronellal,TRPA1,protein:CDBP04867,O75762,C[C@@H](CCC=C(C)C)CC=O,14735,0,0,no_match
citronellal,TRPA1,protein:CDBP04867,O75762,C[C@H](CCC=C(C)C)CC=O,14735,0,0,no_match
estragole,TRPA1,protein:CDBP04867,O75762,COc1ccc(CC=C)cc1,14735,0,0,no_match
fenchone,TRPA1,protein:CDBP04867,O75762,CC1(C)[C@@H]2CC[C@@](C)(C2)C1=O,14735,0,0,no_match
fenchone,TRPA1,protein:CDBP04867,O75762,CC1(C)[C@H]2CC[C@](C)(C2)C1=O,14735,0,0,no_match
gamma-himachalene,TRPA1,protein:CDBP04867,O75762,CC1=C[C@@H]2[C@H](CC1)C(=CCCC2(C)C)C,14735,0,0,no_match
gamma-terpinene,TRPA1,protein:CDBP04867,O75762,CC(C)C1=CCC(=CC1)C,14735,0,0,no_match
geranial,TRPA1,protein:CDBP04867,O75762,CC(C)=CCC/C(C)=C/C=O,14735,0,0,no_match
isopinocamphone,TRPA1,protein:CDBP04867,O75762,C[C@H]1[C@@H]2C[C@H](CC1=O)C2(C)C,14735,0,0,no_match
limonene,TRPA1,protein:CDBP04867,O75762,CC(=C)[C@@H]1CCC(=CC1)C,14735,0,0,no_match
limonene,TRPA1,protein:CDBP04867,O75762,CC(=C)[C@H]1CCC(=CC1)C,14735,0,0,no_match
linalool,TRPA1,protein:CDBP04867,O75762,CC(C)=CCC[C@@](C)(O)C=C,14735,0,0,no_match
linalool,TRPA1,protein:CDBP04867,O75762,CC(C)=CCC[C@](C)(O)C=C,14735,0,0,no_match
methyleugenol,TRPA1,protein:CDBP04867,O75762,COc1ccc(CC=C)cc1OC,14735,0,0,no_match
neral,TRPA1,protein:CDBP04867,O75762,CC(C)=CCC\C(C)=C/C=O,14735,0,0,no_match
pinocamphone,TRPA1,protein:CDBP04867,O75762,C[C@@H]1[C@H]2C[C@H](CC1=O)C2(C)C,14735,0,0,no_match
rosmarinic acid,TRPA1,protein:CDBP04867,O75762,OC(=O)C(Cc1ccc(O)c(O)c1)OC(=O)C=Cc2ccc(O)c(O)c2,14735,0,0,no_match
spathulenol,TRPA1,protein:CDBP04867,O75762,CC1(O)CCC2C1C3C(CCC2=C)C3(C)C,14735,0,0,no_match
trans-anethole,TRPA1,protein:CDBP04867,O75762,COc1ccc(/C=C/C)cc1,14735,0,0,no_match
trans-sabinyl acetate,TRPA1,protein:CDBP04867,O75762,CC(C)[C@@]12C[C@@H](C(=C)C1C2)OC(=O)C,14735,0,0,no_match
"1,8-cineole",CHRM2,protein:CDBP04814,P08172,C[C@@]12CC[C@@H](CC1)C(C)(C)O2,4180,0,0,no_match
