compound,resolved_structure_records,interaction_rows_scanned,isomeric_matches,nonisomeric_matches,join_status
absinthin,1,1489,0,0,no_match
alpha-pinene,2,1489,0,0,no_match
alpha-thujone,1,1489,0,0,no_match
anisaldehyde,1,1489,0,0,no_match
artabsin,1,1489,0,0,no_match
beta-caryophyllene,1,1489,0,0,no_match
beta-myrcene,1,1489,0,0,no_match
beta-pinene,2,1489,0,0,no_match
beta-thujone,1,1489,0,0,no_match
camphor,2,1489,0,0,no_match
chamazulene,1,1489,0,0,no_match
cis-anethole,1,1489,0,0,no_match
citronellal,2,1489,0,0,no_match
estragole,1,1489,0,0,no_match
fenchone,2,1489,0,0,no_match
gamma-himachalene,1,1489,0,0,no_match
gamma-terpinene,1,1489,0,0,no_match
geranial,1,1489,0,0,no_match
isopinocamphone,1,1489,0,0,no_match
limonene,3,1489,0,0,no_match
linalool,2,1489,0,0,no_match
methyleugenol,1,1489,0,0,no_match
neral,1,1489,0,0,no_match
pinocamphone,1,1489,0,0,no_match
rosmarinic acid,1,1489,0,0,no_match
spathulenol,1,1489,0,0,no_match
trans-anethole,1,1489,0,0,no_match
