target,terpedia_record,sair_protein_id,parquet_rows,assay_field_rows,potency_field_rows,pic50_field_rows,vina_score_rows,confidence_score_rows,source_object,retrieved_at
HTR1A,protein:CDBP01994,P08908,4610,4610,4610,4610,4555,4610,gs://sandboxaq-sair/sair.parquet,2026-09-03
HTR2A,protein:CDBP02043,P28223,9535,9535,9535,9535,9476,9535,gs://sandboxaq-sair/sair.parquet,2026-09-03
HTR2C,protein:CDBP02060,P28335,7160,7160,7160,7160,7151,7160,gs://sandboxaq-sair/sair.parquet,2026-09-03
HTR3A,protein:CDBP02156,P46098,4050,4050,4050,4050,4024,4050,gs://sandboxaq-sair/sair.parquet,2026-09-03
HTR7,protein:CDBP01867,P34969,3795,3795,3795,3795,3783,3795,gs://sandboxaq-sair/sair.parquet,2026-09-03
GABRA1,protein:CDBP03412,P14867,265,265,265,265,265,265,gs://sandboxaq-sair/sair.parquet,2026-09-03
GABRA2,protein:CDBP03413,P47869,155,155,155,155,155,155,gs://sandboxaq-sair/sair.parquet,2026-09-03
GABRB2,protein:CDBP03419,P47870,0,0,0,0,0,0,gs://sandboxaq-sair/sair.parquet,2026-09-03
GABRG2,protein:CDBP01864,P18507,0,0,0,0,0,0,gs://sandboxaq-sair/sair.parquet,2026-09-03
DRD1,protein:CDBP04812,P21728,2030,2030,2030,2030,2007,2030,gs://sandboxaq-sair/sair.parquet,2026-09-03
DRD2,protein:CDBP01576,P14416,6305,6305,6305,6305,6254,6305,gs://sandboxaq-sair/sair.parquet,2026-09-03
CHRM2,protein:CDBP04814,P08172,4180,4180,4180,4180,4105,4180,gs://sandboxaq-sair/sair.parquet,2026-09-03
OPRM1,protein:CDBP02036,P35372,8740,8740,8740,8740,8684,8740,gs://sandboxaq-sair/sair.parquet,2026-09-03
CNR1,protein:CDBP04807,P21554,11855,11855,11855,11855,11805,11855,gs://sandboxaq-sair/sair.parquet,2026-09-03
TRPA1,protein:CDBP04867,O75762,14735,14735,14735,14735,14670,14735,gs://sandboxaq-sair/sair.parquet,2026-09-03
TRPM8,protein:CDBP01847,Q7Z2W7,5910,5910,5910,5910,5900,5910,gs://sandboxaq-sair/sair.parquet,2026-09-03
TRPV1,protein:CDBP01848,Q8NER1,23950,23950,23950,23950,23666,23950,gs://sandboxaq-sair/sair.parquet,2026-09-03
GRIN1,protein:CDBP01515,Q05586,560,560,560,560,556,560,gs://sandboxaq-sair/sair.parquet,2026-09-03
SLC6A4,protein:CDBP01822,P31645,28190,28190,28190,28190,28087,28165,gs://sandboxaq-sair/sair.parquet,2026-09-03
