inventory_compound,identity_status,terpedia_id,traditional_name,inchi_key,smiles,source_release,source_object_uri,ingestion_run_id
alpha-pinene,candidate stereoisomer,SN0113697-03,(+)-alpha-pinene,GRWFGVWFFZKLTI-RKDXNWHRSA-N,CC1=CC[C@@H]2C[C@H]1C2(C)C,2022-09-14,gs://terpedia-knowledge-raw/raw/terport-data/objects/4d9e840a8a95f1f6c82a94b7d018b3492227c85257c42efd75330e7a408df0fb/supernatural2/full_data_download.csv,20260903T211905246078Z
beta-pinene,candidate stereoisomer,SN0419253-02,(-)-beta-pinene,WTARULDDTDQWMU-IUCAKERBSA-N,CC1(C)[C@H]2CCC(=C)[C@@H]1C2,2022-09-14,gs://terpedia-knowledge-raw/raw/terport-data/objects/4d9e840a8a95f1f6c82a94b7d018b3492227c85257c42efd75330e7a408df0fb/supernatural2/full_data_download.csv,20260903T211905246078Z
limonene,candidate stereoisomer,SN0434098-01,alpha-limonene,XMGQYMWWDOXHJM-JTQLQIEISA-N,CC(=C)[C@@H]1CCC(=CC1)C,2022-09-14,gs://terpedia-knowledge-raw/raw/terport-data/objects/4d9e840a8a95f1f6c82a94b7d018b3492227c85257c42efd75330e7a408df0fb/supernatural2/full_data_download.csv,20260903T211905246078Z
limonene,candidate stereoisomer,SN0434098-02,(-)-limonene,XMGQYMWWDOXHJM-SNVBAGLBSA-N,CC(=C)[C@H]1CCC(=CC1)C,2022-09-14,gs://terpedia-knowledge-raw/raw/terport-data/objects/4d9e840a8a95f1f6c82a94b7d018b3492227c85257c42efd75330e7a408df0fb/supernatural2/full_data_download.csv,20260903T211905246078Z
linalool,resolved enantiomer,SN0042830-01,(-)-linalool,CDOSHBSSFJOMGT-JTQLQIEISA-N,CC(C)=CCC[C@@](C)(O)C=C,2022-09-14,gs://terpedia-knowledge-raw/raw/terport-data/objects/4d9e840a8a95f1f6c82a94b7d018b3492227c85257c42efd75330e7a408df0fb/supernatural2/full_data_download.csv,20260903T211905246078Z
linalool,resolved enantiomer,SN0042830-02,(+)-linalool,CDOSHBSSFJOMGT-SNVBAGLBSA-N,CC(C)=CCC[C@](C)(O)C=C,2022-09-14,gs://terpedia-knowledge-raw/raw/terport-data/objects/4d9e840a8a95f1f6c82a94b7d018b3492227c85257c42efd75330e7a408df0fb/supernatural2/full_data_download.csv,20260903T211905246078Z
alpha-thujone,resolved candidate,SN0378958-02,thujone,USMNOWBWPHYOEA-MRTMQBJTSA-N,CC(C)[C@@]12C[C@@H]1[C@@H](C)C(=O)C2,2022-09-14,gs://terpedia-knowledge-raw/raw/terport-data/objects/4d9e840a8a95f1f6c82a94b7d018b3492227c85257c42efd75330e7a408df0fb/supernatural2/full_data_download.csv,20260903T211905246078Z
beta-thujone,resolved enantiomer,SN0378958-01,(-)-beta-thujone,USMNOWBWPHYOEA-KHQFGBGNSA-N,CC(C)[C@]12C[C@H]1[C@@H](C)C(=O)C2,2022-09-14,gs://terpedia-knowledge-raw/raw/terport-data/objects/4d9e840a8a95f1f6c82a94b7d018b3492227c85257c42efd75330e7a408df0fb/supernatural2/full_data_download.csv,20260903T211905246078Z
fenchone,resolved enantiomer,SN0205925-03,(-)-fenchone,LHXDLQBQYFFVNW-OIBJUYFYSA-N,CC1(C)[C@H]2CC[C@](C)(C2)C1=O,2022-09-14,gs://terpedia-knowledge-raw/raw/terport-data/objects/4d9e840a8a95f1f6c82a94b7d018b3492227c85257c42efd75330e7a408df0fb/supernatural2/full_data_download.csv,20260903T211905246078Z
fenchone,resolved enantiomer,SN0205925-06,(+)-fenchone,LHXDLQBQYFFVNW-XCBNKYQSSA-N,CC1(C)[C@@H]2CC[C@@](C)(C2)C1=O,2022-09-14,gs://terpedia-knowledge-raw/raw/terport-data/objects/4d9e840a8a95f1f6c82a94b7d018b3492227c85257c42efd75330e7a408df0fb/supernatural2/full_data_download.csv,20260903T211905246078Z
trans-anethole,resolved E isomer,SN0335873-02,anethole,RUVINXPYWBROJD-ONEGZZNKSA-N,COc1ccc(/C=C/C)cc1,2022-09-14,gs://terpedia-knowledge-raw/raw/terport-data/objects/4d9e840a8a95f1f6c82a94b7d018b3492227c85257c42efd75330e7a408df0fb/supernatural2/full_data_download.csv,20260903T211905246078Z
anisaldehyde,resolved structure,SN0478525,anisaldehyde,ZRSNZINYAWTAHE-UHFFFAOYSA-N,COc1ccc(C=O)cc1,2022-09-14,gs://terpedia-knowledge-raw/raw/terport-data/objects/4d9e840a8a95f1f6c82a94b7d018b3492227c85257c42efd75330e7a408df0fb/supernatural2/full_data_download.csv,20260903T211905246078Z
methyleugenol,resolved structure,SN0483473,methyl eugenol,ZYEMGPIYFIJGTP-UHFFFAOYSA-N,COc1ccc(CC=C)cc1OC,2022-09-14,gs://terpedia-knowledge-raw/raw/terport-data/objects/4d9e840a8a95f1f6c82a94b7d018b3492227c85257c42efd75330e7a408df0fb/supernatural2/full_data_download.csv,20260903T211905246078Z
chamazulene,resolved structure,SN0117805,chamazulene,GXGJIOMUZAGVEH-UHFFFAOYSA-N,CCc1ccc(C)c2ccc(C)c2c1,2022-09-14,gs://terpedia-knowledge-raw/raw/terport-data/objects/4d9e840a8a95f1f6c82a94b7d018b3492227c85257c42efd75330e7a408df0fb/supernatural2/full_data_download.csv,20260903T211905246078Z
absinthin,resolved structure,SN0299194-01,absinthin,PZHWYURJZAPXAN-ILOFNVQHSA-N,C[C@H]1[C@@H]2CC[C@](C)(O)[C@@H]3[C@H]4[C@H]5C=C(C)[C@@]6([C@H]7OC(=O)[C@@H](C)[C@@H]7CC[C@](C)(O)[C@@H]56)[C@H]4C(=C3[C@H]2OC1=O)C,2022-09-14,gs://terpedia-knowledge-raw/raw/terport-data/objects/4d9e840a8a95f1f6c82a94b7d018b3492227c85257c42efd75330e7a408df0fb/supernatural2/full_data_download.csv,20260903T211905246078Z
